FrameUs,ADC,SyncUs,MagnetUs
576,307,,
924,307,,
1328,306,,
1724,306,,
2128,306,,
2528,306,,
2928,307,,
3324,306,,
3728,308,,
4124,306,,
4524,306,,
4924,307,,
5328,308,,
5724,307,,
6124,306,,
6528,307,,
6928,307,,
7324,306,,
7728,307,,
8128,307,,
8524,307,,
8924,307,,
9328,306,,
9724,306,,
10124,307,,
10528,306,,
10928,306,,
11332,307,,
11728,307,,
12128,307,,
12524,307,,
12924,306,,
13324,306,,
13728,306,,
14128,307,,
14524,307,,
14928,307,,
15328,306,,
15724,306,,
16124,306,,
16528,306,,
16924,307,,
17324,307,,
17728,306,,
18128,307,,
18524,306,,
18924,305,,
19328,307,,
19724,306,,
20124,307,,
20520,306,,
20928,306,,
21328,307,,
21724,307,,
22124,307,,
22532,306,,
22924,308,,
23324,307,,
23728,307,,
24128,307,,
24524,306,,
24928,306,,
25328,306,,
25724,306,,
26124,307,,
26528,306,,
26924,307,,
27324,307,,
27728,307,,
28128,308,,
28524,306,,
28928,307,,
29328,307,,
29724,306,,
30124,308,,
30528,307,,
30924,307,,
31324,308,,
31724,306,,
32128,307,,
32524,306,,
32928,308,,
33328,306,,
33728,307,,
34124,306,,
34528,306,,
34928,307,,
35324,304,,
35724,306,,
36128,306,,
36528,306,,
36932,307,,
37328,306,,
37728,307,,
38124,306,,
38524,307,,
38924,307,,
39328,306,,
39724,307,,
40124,305,,
40528,306,,
40928,307,,
41324,306,,
41724,307,,
42128,306,,
42524,307,,
42924,306,,
43328,306,,
43728,306,,
44124,306,,
44528,306,,
44928,307,,
45324,307,,
45724,306,,
46124,307,,
46528,307,,
46924,307,,
47328,309,,
47728,308,,
48128,307,,
48524,307,,
48928,306,,
49324,307,,
49724,307,,
50124,307,,
50528,307,,
50924,307,,
51324,307,,
51728,307,,
52128,307,,
52524,307,,
52924,306,,
53328,307,,
53724,307,,
54124,307,,
54528,306,,
54928,307,,
55320,308,,
55728,307,,
56128,308,,
56524,308,,
56924,307,,
57328,308,,
57724,308,,
58124,308,,
58528,307,,
58928,307,,
59324,308,,
