FrameUs,ADC,SyncUs,MagnetUs
182128,307,,
182524,307,,
182924,307,,
183320,307,,
183728,307,,
184124,307,,
184528,307,,
184928,307,,
185328,308,,
185724,308,,
186128,308,,
186524,308,,
186924,308,,
187324,308,,
187728,308,,
188124,308,,
188528,308,,
188928,309,,
189328,308,,
189724,308,,
190128,308,,
190532,307,,
190924,308,,
191324,308,,
191728,308,,
192124,308,,
192520,308,,
192924,308,,
193328,307,,
193724,307,,
194124,309,,
194524,308,,
194928,308,,
195324,308,,
195728,309,,
196128,308,,
196528,307,,
196924,309,,
197328,308,,
197724,307,,
198124,308,,
198524,308,,
198928,309,,
199324,308,,
199720,309,,
200124,308,,
200528,308,,
200924,308,,
201324,306,,
201724,308,,
202128,307,,
202524,307,,
202924,308,,
203328,307,,
203728,307,,
204124,307,,
204524,307,,
204928,308,,
205324,307,,
205724,308,,
206128,306,,
206528,307,,
206928,306,,
207328,307,,
207728,307,,
208124,307,,
208524,307,,
208924,306,,
209328,307,,
209728,307,,
210124,307,,
210528,307,,
210928,307,,
211324,307,,
211724,308,,
212128,307,,
212524,308,,
212924,307,,
213328,309,,
213728,308,,
214124,308,,
214524,308,,
214928,308,,
215324,307,,
215724,307,,
216132,307,,
216528,308,,
216924,307,,
217328,307,,
217728,308,,
218124,308,,
218524,308,,
218924,309,,
219328,309,,
219728,308,,
220124,308,,
220528,307,,
220928,307,,
221324,308,,
221724,307,,
222128,308,,
222524,309,,
222924,307,,
223328,309,,
223728,308,,
224124,307,,
224528,308,,
224928,307,,
225324,308,,
225724,308,,
226124,307,,
226528,307,,
226928,307,,
227324,307,,
227728,307,,
228128,307,,
228524,307,,
228924,307,,
229328,307,,
229724,307,,
230124,307,,
230528,306,,
230928,307,,
231324,306,,
231728,306,,
232128,307,,
232524,307,,
232924,307,,
233328,307,,
233724,306,,
234124,306,,
234520,306,,
234928,307,,
235324,308,,
235724,308,,
236128,308,,
236528,308,,
236924,307,,
237324,307,,
237728,307,,
238124,308,,
238524,308,,
238928,308,,
239328,308,,
239724,308,,
240128,308,,
240528,308,,
240924,308,,
241324,308,,
241732,307,,
242124,309,,
242524,308,,
242928,307,,
243328,307,,
243724,308,,
244124,308,,
244524,308,,
244928,308,,
245324,307,,
245724,308,,
246128,307,,
246528,307,,
246924,308,,
247328,308,,
247728,308,,
248124,307,,
248524,306,,
248928,307,,
249324,307,,
249724,307,,
250128,307,,
250528,307,,
250924,305,,
251324,307,,
251724,308,,
252128,307,,
252524,307,,
252924,307,,
253328,307,,
253728,307,,
254124,307,,
254528,307,,
254928,307,,
255324,307,,
255724,308,,
256128,307,,
256528,307,,
256924,307,,
257328,307,,
257728,307,,
258124,307,,
258524,307,,
258928,307,,
259324,307,,
259724,307,,
260120,307,,
260528,308,,
260924,307,,
261328,307,,
261728,307,,
262128,307,,
262524,307,,
262928,308,,
263324,308,,
263724,308,,
264124,307,,
264528,307,,
264924,309,,
265324,308,,
265728,309,,
266128,309,,
266524,308,,
266924,308,,
267332,307,,
267724,307,,
268124,308,,
268528,307,,
268928,308,,
269320,308,,
269724,308,,
270124,307,,
270528,308,,
270924,307,,
271324,308,,
271728,307,,
272128,307,,
272524,307,,
272928,306,,
273328,306,,
273724,306,,
274124,306,,
274528,307,,
274924,306,,
275324,306,,
275728,306,,
276128,306,,
276524,307,,
276924,306,,
277324,307,,
277728,306,,
278124,307,,
278524,306,,
278928,307,,
279328,308,,
279724,307,,
280128,307,,
280528,307,,
280924,307,,
281324,307,,
281728,307,,
282124,307,,
282524,307,,
282928,307,,
283328,307,,
283728,308,,
284128,306,,
284528,307,,
284924,307,,
285324,307,,
285724,308,,
286128,308,,
286528,307,,
286924,308,,
287328,306,,
287728,306,,
288124,308,,
288524,307,,
288928,308,,
289324,308,,
289724,308,,
290128,309,,
290528,309,,
290924,308,,
291324,310,,
291728,309,,
292124,309,,
292524,309,,
292932,307,,
293328,308,,
293724,308,,
294128,307,,
294528,307,,
294924,308,,
295324,306,,
295724,307,,
296128,307,,
296528,307,,
296924,308,,
297328,307,,
297728,306,,
298124,307,,
298524,307,,
298928,306,,
299324,307,,
299724,307,,
300128,306,,
300528,306,,
300924,308,,
301324,307,,
301728,307,,
302124,308,,
302524,307,,
302924,307,,
303328,307,,
303728,307,,
304124,307,,
304528,308,,
304928,308,,
305324,308,,
305724,308,,
306128,307,,
306528,309,,
306924,308,,
307328,308,,
307728,310,,
308128,309,,
308524,308,,
308928,308,,
309324,308,,
309724,308,,
310124,309,,
310528,307,,
310924,307,,
311320,308,,
311728,308,,
312128,308,,
312524,308,,
312928,309,,
313328,308,,
313724,308,,
314124,308,,
314528,307,,
314924,308,,
315324,308,,
315728,308,,
316128,309,,
316524,307,,
316928,310,,
317328,309,,
317724,308,,
318124,309,,
318532,309,,
318924,308,,
319324,308,,
319728,308,,
320128,308,,
320524,308,,
320924,308,,
321324,308,,
321728,307,,
322124,307,,
322524,307,,
322928,308,,
323328,309,,
323724,308,,
324124,308,,
324528,308,,
324924,307,,
325324,308,,
325728,307,,
326128,308,,
326524,309,,
326928,308,,
327328,308,,
327724,308,,
328124,307,,
328524,306,,
328928,307,,
329328,307,,
329724,308,,
330128,307,,
330528,307,,
330924,308,,
331324,308,,
331728,308,,
332124,309,,
332524,309,,
332928,308,,
333328,308,,
333724,308,,
334128,308,,
334528,309,,
334924,308,,
335324,307,,
335728,308,,
336124,307,,
336524,308,,
336920,309,,
337328,308,,
337724,308,,
338128,307,,
338528,307,,
338928,308,,
339324,307,,
339728,308,,
340124,307,,
340524,307,,
340924,306,,
341328,307,,
341724,307,,
342124,308,,
342528,308,,
342928,307,,
343324,309,,
343724,308,,
344132,308,,
344524,308,,
344924,308,,
345328,308,,
345728,308,,
346124,307,,
346524,307,,
346924,307,,
347328,307,,
347724,307,,
348124,307,,
348528,306,,
348928,307,,
349324,307,,
349728,307,,
350128,307,,
350524,307,,
350924,308,,
351328,307,,
351724,307,,
352124,307,,
352528,307,,
352928,307,,
353324,307,,
353724,307,,
354124,307,,
354528,308,,
354924,307,,
355324,308,,
355728,307,,
356128,308,,
356524,308,,
356924,308,,
357328,308,,
357724,308,,
358124,307,,
358528,306,,
358928,307,,
359324,308,,
359728,307,,
360128,306,,
360524,307,,
360924,307,,
361328,306,,
361724,306,,
362124,307,,
362520,308,,
362928,307,,
363324,307,,
363728,306,,
364128,307,,
364528,307,,
364924,307,,
365328,307,,
365724,307,,
366124,307,,
366524,307,,
366928,307,,
367324,308,,
367728,308,,
368128,308,,
368528,308,,
368924,307,,
369328,307,,
369732,307,,
370124,307,,
370524,307,,
370928,307,,
371328,307,,
371720,306,,
372124,306,,
372528,305,,
372924,306,,
373324,306,,
373724,306,,
374128,306,,
374524,306,,
374924,305,,
375328,305,,
375728,305,,
376124,306,,
376524,307,,
376928,306,,
377324,307,,
377724,306,,
378128,307,,
378528,308,,
378920,308,,
379324,307,,
379724,308,,
380128,307,,
380524,307,,
380924,308,,
381328,307,,
381728,308,,
382124,308,,
382528,307,,
382928,306,,
383324,307,,
383724,307,,
384128,306,,
384524,308,,
384924,308,,
385328,306,,
385728,306,,
386124,306,,
386524,306,,
386928,306,,
387324,306,,
387724,306,,
388120,306,,
388528,305,,
388924,306,,
389328,306,,
389728,306,,
390128,305,,
390524,306,,
390928,306,,
391324,306,,
391724,307,,
392124,307,,
392528,306,,
392924,306,,
393328,306,,
393728,306,,
394128,308,,
394524,306,,
394928,307,,
395332,307,,
395724,306,,
396124,306,,
396528,306,,
396924,306,,
397320,306,,
397724,305,,
398128,306,,
398524,305,,
398924,305,,
399324,304,,
399728,304,,
400124,305,,
565196,308,,
565596,309,,
565996,308,,
566396,309,,
566800,307,,
567196,308,,
567596,308,,
567996,307,,
568396,308,,
568800,309,,
569196,308,,
569596,308,,
570000,308,,
570396,308,,
570796,308,,
571200,307,,
571600,307,,
571996,308,,
572396,307,,
572796,308,,
573200,309,,
573600,309,,
573996,309,,
574400,309,,
574796,310,,
575200,310,,
575600,310,,
575996,310,,
576400,310,,
576800,309,,
577200,309,,
577604,308,,
577996,309,,
578400,309,,
578800,309,,
579200,309,,
579592,309,,
580000,309,,
580396,308,,
580796,309,,
581200,308,,
581600,308,,
582000,307,,
582396,307,,
582796,308,,
583200,307,,
583600,308,,
584000,309,,
584396,308,,
584796,308,,
585200,308,,
585596,308,,
586000,308,,
586396,308,,
586796,308,,
587196,309,,
587600,308,,
588000,308,,
588400,308,,
588796,308,,
589196,309,,
589600,310,,
590000,310,,
590400,309,,
590796,307,,
591196,308,,
591600,308,,
592000,308,,
592396,308,,
592796,307,,
593196,308,,
593600,307,,
594000,308,,
594396,309,,
594796,308,,
595196,307,,
595600,308,,
595992,308,,
596396,307,,
596800,306,,
597200,307,,
597600,308,,
597996,307,,
598396,308,,
598800,308,,
599200,307,,
599600,308,,
599996,309,,
600396,308,,
600800,308,,
601200,309,,
601596,308,,
601996,308,,
602396,309,,
602800,308,,
603204,308,,
603596,308,,
604000,309,,
604400,308,,
604800,308,,
605192,309,,
605600,309,,
605996,308,,
606396,308,,
606796,309,,
607200,308,,
607600,307,,
607996,309,,
608396,308,,
608796,307,,
609200,309,,
609600,309,,
609996,309,,
610396,308,,
610800,308,,
611200,308,,
611600,308,,
611996,308,,
612396,309,,
612796,307,,
613196,307,,
613596,308,,
614000,308,,
614396,309,,
614796,308,,
615200,309,,
615596,309,,
616000,308,,
616396,309,,
616796,307,,
617200,307,,
617600,307,,
618000,307,,
618396,306,,
618796,307,,
619200,307,,
619600,307,,
620000,308,,
620396,308,,
620796,307,,
621200,307,,
621592,307,,
621996,307,,
622396,307,,
622796,307,,
623200,307,,
623596,308,,
623996,308,,
624396,308,,
624796,308,,
625200,309,,
625596,308,,
625996,308,,
626400,309,,
626800,309,,
627200,307,,
627596,309,,
627996,309,,
628400,308,,
628804,308,,
629200,309,,
629596,308,,
629996,308,,
630400,308,,
630792,310,,
631196,310,,
631600,309,,
632000,309,,
632396,310,,
632800,309,,
633200,308,,
633600,309,,
634000,309,,
634396,308,,
634800,309,,
635200,309,,
635600,308,,
636000,308,,
636396,309,,
636800,309,,
637200,308,,
637596,309,,
637996,308,,
638400,307,,
638796,308,,
639196,308,,
639600,309,,
640004,309,,
640400,308,,
640796,309,,
641196,308,,
641600,309,,
641996,308,,
642400,308,,
642796,308,,
643196,307,,
643600,308,,
643996,306,,
644396,307,,
644800,306,,
645196,306,,
645600,307,,
645996,306,,
646396,307,,
646800,308,,
647196,307,,
647596,308,,
648000,306,,
648400,307,,
648796,308,,
649196,307,,
649596,308,,
650000,308,,
650400,308,,
650796,308,,
651200,308,,
651600,309,,
652000,307,,
652400,308,,
652796,309,,
653200,307,,
653600,309,,
654000,308,,
654404,307,,
654796,307,,
655200,308,,
655600,308,,
655996,309,,
656396,309,,
656800,309,,
657196,307,,
657596,308,,
658000,307,,
658400,307,,
658800,307,,
659196,308,,
659596,307,,
660000,308,,
660400,308,,
660800,307,,
661196,307,,
661596,308,,
662000,308,,
662396,307,,
662796,306,,
663196,306,,
663596,306,,
663996,306,,
664400,307,,
664800,307,,
665200,307,,
665596,307,,
665996,307,,
666400,306,,
666800,306,,
667200,306,,
667596,306,,
667996,305,,
668400,306,,
668800,306,,
669196,305,,
669596,305,,
669996,305,,
670400,306,,
670800,306,,
671196,305,,
671600,306,,
671996,305,,
672400,306,,
672792,306,,
673196,306,,
673600,306,,
674000,306,,
674400,308,,
674796,307,,
675196,307,,
675600,307,,
676000,305,,
676400,306,,
676796,307,,
677196,307,,
677600,307,,
678000,307,,
678396,308,,
678796,307,,
679196,306,,
679600,306,,
680004,306,,
680396,306,,
680796,307,,
681196,307,,
681600,306,,
681992,307,,
682400,307,,
682800,306,,
683200,307,,
683596,307,,
684000,305,,
684400,305,,
684796,305,,
685196,305,,
685596,305,,
686000,305,,
686400,305,,
686796,306,,
687196,306,,
687600,306,,
688000,305,,
688400,305,,
688796,305,,
689196,305,,
689596,305,,
689996,305,,
690396,305,,
690800,305,,
691196,305,,
691596,305,,
692000,305,,
692400,305,,
692800,304,,
693196,305,,
693596,305,,
694000,305,,
694400,304,,
694800,304,,
695196,304,,
695596,305,,
696000,304,,
696400,305,,
696800,305,,
697196,305,,
697596,306,,
698000,306,,
698392,306,,
698796,306,,
699196,306,,
699596,305,,
700000,306,,
700396,306,,
700796,307,,
701200,306,,
701596,306,,
702000,307,,
702396,307,,
702796,306,,
703200,306,,
703600,306,,
704000,307,,
704396,307,,
704796,307,,
705200,306,,
705604,307,,
706000,306,,
706396,306,,
706796,306,,
707200,307,,
707592,307,,
708000,307,,
708400,307,,
708800,306,,
709196,307,,
709600,307,,
710000,306,,
710400,307,,
710800,307,,
711196,306,,
711600,307,,
712000,307,,
712396,306,,
712800,307,,
713196,308,,
713600,307,,
714000,308,,
714396,308,,
714796,307,,
715200,307,,
715596,308,,
715996,308,,
716400,307,,
716804,307,,
717200,307,,
717596,306,,
717996,307,,
718400,307,,
718796,307,,
719196,308,,
719596,308,,
719996,307,,
720400,307,,
720796,307,,
721196,308,,
721596,308,,
721996,307,,
722400,309,,
722796,307,,
723196,309,,
723600,308,,
723996,308,,
724396,309,,
724800,309,,
725200,309,,
725596,309,,
725996,308,,
726396,308,,
726800,309,,
727200,309,,
727596,308,,
728000,309,,
728396,309,,
728800,309,,
729200,309,,
729596,309,,
730000,309,,
730400,307,,
730800,307,,
731204,307,,
731596,307,,
732000,307,,
732400,307,,
732796,308,,
733196,308,,
733600,307,,
733996,308,,
734396,307,,
734800,308,,
735200,309,,
735600,307,,
735996,308,,
736396,308,,
736800,307,,
737196,308,,
737600,309,,
737996,308,,
738396,308,,
738800,309,,
739196,309,,
739596,308,,
739996,307,,
740396,309,,
740796,308,,
741200,309,,
741600,308,,
742000,307,,
742396,309,,
742796,308,,
743200,308,,
743600,308,,
743996,308,,
744396,309,,
744796,307,,
745200,308,,
745600,308,,
745996,307,,
746396,308,,
746796,307,,
747200,308,,
747600,306,,
747996,306,,
748400,307,,
748800,306,,
749200,307,,
749592,308,,
749996,308,,
750400,308,,
750800,308,,
751200,308,,
751596,308,,
751996,308,,
752400,307,,
752800,308,,
753200,308,,
753596,307,,
753996,308,,
754400,308,,
754800,307,,
755196,308,,
755596,307,,
755996,307,,
756400,307,,
756804,307,,
757196,308,,
757600,307,,
757996,308,,
758400,307,,
758792,307,,
759200,307,,
759596,307,,
760000,308,,
760396,306,,
760800,306,,
761200,308,,
761596,306,,
761996,307,,
762396,306,,
762800,307,,
763200,307,,
763596,307,,
763996,308,,
764400,307,,
764800,306,,
765200,307,,
765596,308,,
765996,308,,
766396,308,,
766796,307,,
